x,numeric,exacte
0.00314,56.1833,56.1777
0.003144,56.1805,56.175
0.003148,56.1778,56.1723
0.003152,56.175,56.1695
0.003156,56.1723,56.1668
0.00316,56.1696,56.164
0.003164,56.1668,56.1613
0.003168,56.1641,56.1586
0.003172,56.1613,56.1558
0.003176,56.1586,56.1531
0.00318,56.1559,56.1504
0.003184,56.1531,56.1476
0.003188,56.1504,56.1449
0.003192,56.1477,56.1422
0.003196,56.1449,56.1394
0.0032,56.1422,56.1367
0.003204,56.1395,56.1339
0.003208,56.1367,56.1312
0.003212,56.134,56.1285
0.003216,56.1312,56.1257
0.00322,56.1285,56.123
0.003224,56.1258,56.1203
0.003228,56.1231,56.1176
0.003232,56.1203,56.1148
0.003236,56.1176,56.1121
0.00324,56.1149,56.1094
0.003244,56.1121,56.1066
0.003248,56.1094,56.1039
0.003252,56.1067,56.1012
0.003256,56.1039,56.0984
0.00326,56.1012,56.0957
0.003264,56.0985,56.093
0.003268,56.0957,56.0902
0.003272,56.093,56.0875
0.003276,56.0903,56.0848
0.00328,56.0876,56.0821
0.003284,56.0848,56.0793
0.003288,56.0821,56.0766
0.003292,56.0794,56.0739
0.003296,56.0767,56.0712
0.0033,56.0739,56.0684
0.003304,56.0712,56.0657
0.003308,56.0685,56.063
0.003312,56.0658,56.0603
0.003316,56.063,56.0575
0.00332,56.0603,56.0548
0.003324,56.0576,56.0521
0.003328,56.0549,56.0494
0.003332,56.0521,56.0466
0.003336,56.0494,56.0439
0.00334,56.0467,56.0412
0.003344,56.044,56.0385
0.003348,56.0413,56.0358
0.003352,56.0385,56.033
0.003356,56.0358,56.0303
0.00336,56.0331,56.0276
0.003364,56.0304,56.0249
0.003368,56.0277,56.0222
0.003372,56.0249,56.0194
0.003376,56.0222,56.0167
0.00338,56.0195,56.014
0.003384,56.0168,56.0113
0.003388,56.0141,56.0086
0.003392,56.0114,56.0059
0.003396,56.0086,56.0031
0.0034,56.0059,56.0004
0.003404,56.0032,55.9977
0.003408,56.0005,55.995
0.003412,55.9978,55.9923
0.003416,55.9951,55.9896
0.00342,55.9923,55.9869
0.003424,55.9896,55.9841
0.003428,55.9869,55.9814
0.003432,55.9842,55.9787
0.003436,55.9815,55.976
0.00344,55.9788,55.9733
0.003444,55.9761,55.9706
0.003448,55.9734,55.9679
0.003452,55.9707,55.9652
0.003456,55.9679,55.9624
0.00346,55.9652,55.9597
0.003464,55.9625,55.957
0.003468,55.9598,55.9543
0.003472,55.9571,55.9516
0.003476,55.9544,55.9489
0.00348,55.9517,55.9462
0.003484,55.949,55.9435
0.003488,55.9463,55.9408
0.003492,55.9436,55.9381
0.003496,55.9409,55.9354
0.0035,55.9381,55.9327
0.003504,55.9354,55.93
0.003508,55.9327,55.9272
0.003512,55.93,55.9245
0.003516,55.9273,55.9218
0.00352,55.9246,55.9191
0.003524,55.9219,55.9164
0.003528,55.9192,55.9137
0.003532,55.9165,55.911
0.003536,55.9138,55.9083
0.00354,55.9111,55.9056
0.003544,55.9084,55.9029
0.003548,55.9057,55.9002
0.003552,55.903,55.8975
0.003556,55.9003,55.8948
0.00356,55.8976,55.8921
0.003564,55.8949,55.8894
0.003568,55.8922,55.8867
0.003572,55.8895,55.884
0.003576,55.8868,55.8813
0.00358,55.8841,55.8786
0.003584,55.8814,55.8759
0.003588,55.8787,55.8732
0.003592,55.876,55.8705
